Page ID	Page Rank	Anchor Text	URL
98	0.00291197866915	['uSpring 2010 Colloquium']	http://www.infosci.cornell.edu/about/seminarSeries-spring2010.html
99	0.0145211321772	['uIS Colloquium, <br />, u', 'uColloquium', 'uColloquium, <br />, u', 'uHome', 'uIS Colloquium', '<br />, u', 'uINFO 7090']	http://www.infosci.cornell.edu/about/seminarSeries.html
100	0.0028372518915	['uExploring Bridges Between Open and                   Vetted Information Domains: INFOMINE, iVia and Data Fountains, <br />, u']	http://www.infosci.cornell.edu/about/SeminarSpring04/Apr1.html
101	0.202787456446		http://www.infosci.cornell.edu/about/SeminarSpring04/Apr14.html
102	0.0028372518915	['uEveryday Lies and Everyday Technology:                   Deception, Design,, <br />, u                  and Detection']	http://www.infosci.cornell.edu/about/SeminarSpring04/Apr7.html
103	0.0028372518915	['uA new research platform for investigating                   hybrid networks']	http://www.infosci.cornell.edu/about/SeminarSpring04/Feb24.html
104	0.0028372518915	['uLearning to Predict Complex Outputs                   ']	http://www.infosci.cornell.edu/about/SeminarSpring04/March10.html
105	0.0028372518915	['uAffective Presence']	http://www.infosci.cornell.edu/about/SeminarSpring04/March31.html
106	0.00281389502339	['u"Jofishs               talk"']	http://www.infosci.cornell.edu/about/SeminarSpring05/Apr13.html
107	0.00281389502339	['u"Loris talk"']	http://www.infosci.cornell.edu/about/SeminarSpring05/Apr13b.html
108	0.00281389502339	['u"Why Youre               in the Trenches of the Copyright Wars"']	http://www.infosci.cornell.edu/about/SeminarSpring05/Apr20b.html
109	0.00281389502339	['uThe Web Laboratory:               A petabyte collection of data for research on the content, structure,               and evolution of the Web']	http://www.infosci.cornell.edu/about/SeminarSpring05/Apr27.html
110	0.00281389502339	['uLegal and               Technical Standards in Digital Rights Management']	http://www.infosci.cornell.edu/about/SeminarSpring05/Feb02.html
111	0.00281389502339	['uIs artist-friendly               graphics possible?']	http://www.infosci.cornell.edu/about/SeminarSpring05/Feb16.html
112	0.00281389502339	['uAutomatic               Metadata Assignment for Internet Resources']	http://www.infosci.cornell.edu/about/SeminarSpring05/June13.html
113	0.00281389502339	['uManaging               E-loyalty through Design']	http://www.infosci.cornell.edu/about/SeminarSpring05/June6.html
114	0.00281389502339	['uThe Design               of a Japanese Law Translation System']	http://www.infosci.cornell.edu/about/SeminarSpring05/March02.html
115	0.00281389502339	['u"Gillys               talk"']	http://www.infosci.cornell.edu/about/SeminarSpring05/March30.html
116	0.00281389502339	['u"Sadats talk"']	http://www.infosci.cornell.edu/about/SeminarSpring05/March30b.html
117	0.00281389502339	['u"The Emperors               New Clothes: The Challenges of Designing Implicit Interactions"']	http://www.infosci.cornell.edu/about/SeminarSpring05/may4.html
118	0.00285857214321	['uhttp://www.infosci.cornell.edu/about/SIGCHI.html']	http://www.infosci.cornell.edu/about/SIGCHI.html
119	0.0852871606264	['uCourse Conflict Charts, <br />']	http://www.infosci.cornell.edu/courses/courseconflictcharts.html
120	0.0745011366896	['uINFO Courses', 'uINFO 2310', 'uINFO 3200', 'uINFO 3660', 'uINFO 4320', 'uINFO 7050', 'uBack to INFO course list']	http://www.infosci.cornell.edu/courses/courses.asp
121	0.00400989515778	['uINFO 1300']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%201300
122	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%202040
123	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%202140
124	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%202300
125	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%202310
126	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%202450
127	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%202921
128	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%202950
129	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%203200
130	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%203300
131	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%203450
132	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%203490
133	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%203561
134	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%203650
135	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%203660
136	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204144
137	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%20415
138	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204290
139	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204300
140	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204302
141	0.00294499606211	['uINFO 4307']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204307
142	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204320
143	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204400
144	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204450
145	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204470
146	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204500
147	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204900
148	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%204910
149	0.00578824591833	['uINFO 5150']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%205150
150	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%205300
151	0.00286174894568	['uINFO 6140/PSYCH 6140']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206140
152	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206144
153	0.00286174894568	['uINFO           6300']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206300
154	0.00286174894568	['uINFO 6302:']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206302
155	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206307
156	0.00286174894568	['uINFO 6341/S&TS; 6341']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206341
157	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206350
